h,ne,tn,ti,te
463.000000,1.248932,678.523682,1099.393799,1265.832153
464.000000,1.244484,678.523865,1100.969849,1267.465332
465.000000,1.240058,678.523987,1102.545654,1269.098267
466.000000,1.235653,678.524109,1104.121094,1270.731689
467.000000,1.231271,678.524292,1105.696289,1272.365356
468.000000,1.226910,678.524414,1107.270996,1273.998413
469.000000,1.222570,678.524536,1108.845581,1275.631958
470.000000,1.218253,678.524658,1110.419922,1277.265015
471.000000,1.213956,678.524780,1111.994019,1278.898438
472.000000,1.209681,678.524902,1113.567871,1280.531982
473.000000,1.205428,678.525024,1115.141602,1282.166016
474.000000,1.201195,678.525146,1116.715210,1283.799072
475.000000,1.196984,678.525269,1118.288574,1285.432739
476.000000,1.192794,678.525330,1119.861816,1287.066406
477.000000,1.188624,678.525452,1121.434937,1288.700317
478.000000,1.184476,678.525574,1123.008057,1290.334229
479.000000,1.180349,678.525635,1124.581055,1291.968140
480.000000,1.176242,678.525757,1126.153809,1293.602173
481.000000,1.172156,678.525818,1127.726440,1295.236450
482.000000,1.168091,678.525940,1129.299194,1296.870850
483.000000,1.164046,678.526001,1130.871948,1298.505859
484.000000,1.160021,678.526123,1132.444458,1300.140015
485.000000,1.156017,678.526184,1134.016846,1301.774780
486.000000,1.152033,678.526245,1135.589355,1303.409790
487.000000,1.148069,678.526306,1137.161865,1305.045654
488.000000,1.144126,678.526428,1138.734131,1306.681152
489.000000,1.140202,678.526489,1140.306396,1308.316406
490.000000,1.136299,678.526550,1141.878784,1309.952881
491.000000,1.132414,678.526611,1143.451050,1311.588745
492.000000,1.128550,678.526672,1145.023193,1313.226074
493.000000,1.124706,678.526733,1146.595459,1314.862671
494.000000,1.120881,678.526794,1148.167603,1316.500732
495.000000,1.117075,678.526855,1149.739868,1318.138794
496.000000,1.113289,678.526917,1151.312012,1319.776855
497.000000,1.109522,678.526978,1152.884033,1321.416626
498.000000,1.105775,678.527039,1154.456177,1323.056030
499.000000,1.102046,678.527100,1156.028442,1324.697021
500.000000,1.098336,678.527161,1157.600464,1326.337891
501.000000,1.094646,678.527161,1159.172485,1327.980591
502.000000,1.090974,678.527222,1160.744507,1329.624390
503.000000,1.087321,678.527283,1162.316650,1331.268066
504.000000,1.083686,678.527344,1163.888672,1332.913940
505.000000,1.080071,678.527344,1165.460693,1334.560181
506.000000,1.076473,678.527405,1167.032715,1336.208374
507.000000,1.072894,678.527466,1168.604858,1337.858032
508.000000,1.069333,678.527466,1170.176758,1339.509521
509.000000,1.065791,678.527527,1171.748779,1341.163574
510.000000,1.062266,678.527588,1173.320801,1342.819092
511.000000,1.058760,678.527588,1174.892944,1344.476929
512.000000,1.055271,678.527649,1176.464844,1346.136963
513.000000,1.051800,678.527649,1178.036865,1347.800049
514.000000,1.048347,678.527710,1179.608887,1349.466431
515.000000,1.044912,678.527771,1181.180908,1351.136719
516.000000,1.041494,678.527771,1182.752930,1352.810181
517.000000,1.038094,678.527832,1184.324829,1354.487915
518.000000,1.034711,678.527832,1185.896851,1356.169434
519.000000,1.031345,678.527832,1187.468872,1357.856567
520.000000,1.027997,678.527893,1189.040894,1359.549683
521.000000,1.024665,678.527893,1190.612793,1361.247681
522.000000,1.021351,678.527954,1192.184814,1362.952759
523.000000,1.018053,678.527954,1193.756836,1364.664795
524.000000,1.014772,678.528015,1195.328735,1366.385254
525.000000,1.011508,678.528015,1196.900757,1368.114136
526.000000,1.008260,678.528015,1198.472778,1369.850708
527.000000,1.005030,678.528076,1200.044800,1371.598999
528.000000,1.001815,678.528076,1201.616699,1373.357056
529.000000,0.998617,678.528076,1203.188599,1375.127563
530.000000,0.995435,678.528137,1204.760620,1376.911255
531.000000,0.992270,678.528137,1206.332642,1378.707886
532.000000,0.989120,678.528137,1207.904663,1380.520752
533.000000,0.985987,678.528198,1209.476562,1382.347900
534.000000,0.982869,678.528198,1211.048584,1384.193726
535.000000,0.979767,678.528198,1212.620605,1386.057251
536.000000,0.976682,678.528259,1214.192505,1387.940186
537.000000,0.973611,678.528259,1215.764404,1389.844849
538.000000,0.970556,678.528259,1217.336426,1391.770752
539.000000,0.967517,678.528259,1218.908447,1393.721069
540.000000,0.964493,678.528320,1220.480469,1395.695557
541.000000,0.961484,678.528320,1222.052368,1397.696045
542.000000,0.958491,678.528320,1223.624390,1399.723511
543.000000,0.955513,678.528320,1225.196411,1401.779053
544.000000,0.952550,678.528381,1226.768311,1403.864014
545.000000,0.949601,678.528381,1228.340210,1405.979004
546.000000,0.946668,678.528381,1229.912231,1408.124878
547.000000,0.943749,678.528381,1231.484253,1410.302490
548.000000,0.940845,678.528381,1233.056152,1412.512207
549.000000,0.937956,678.528442,1234.628174,1414.755127
550.000000,0.935081,678.528442,1236.200195,1417.029785
551.000000,0.932221,678.528442,1237.772217,1419.338379
552.000000,0.929375,678.528442,1239.344116,1421.678833
553.000000,0.926543,678.528442,1240.916016,1424.051880
554.000000,0.923726,678.528503,1242.488037,1426.458130
555.000000,0.920923,678.528503,1244.060059,1428.895996
556.000000,0.918134,678.528503,1245.631958,1431.363892
557.000000,0.915358,678.528503,1247.203857,1433.862793
